run_id,cycle_id,cycle_start_time,cycle_end_time,cycle_time_sec,avg_vfd1_temp,avg_vfd2_temp,avg_vfd3_temp,avg_vfd4_temp,avg_r01_load,min_r01_load,max_r01_load,avg_r02_load,min_r02_load,max_r02_load,avg_r03_load,min_r03_load,max_r03_load,avg_r04_load,min_r04_load,max_r04_load,stopper1_active_count,stopper2_active_count,stopper3_active_count,stopper4_active_count,stopper5_active_count,defect_label,defect_flag
6,20,"2023-12-11 20:50:27.558","2023-12-11 20:55:22.051",294,89.78187011502776,-1.6174346351692697e34,1.0906187146010193e34,-1.3819996945096237e29,428.9307300509338,13,625,1310.24142614601,1236,1453,1652.9134125636672,1219,8894,599.906960950764,-1335,2083,168,645,15,15,56,NoNose|NoBody2,1
6,21,"2023-12-11 20:55:22.146","2023-12-11 21:00:16.242",294,89.79488017982553,-4.34382898124839e34,1.356220258327545e34,-3.942896003881213e32,436.89123045547245,108,594,1312.4384772263766,1242,1363,1650.855880353501,1287,8511,597.8011556764106,-1288,1364,168,644,15,16,55,NoNose|NoBody2,1
6,22,"2023-12-11 21:00:16.353","2023-12-11 21:05:10.439",294,89.82660116983566,1.768565630533524e30,1.697529527881673e32,-1.1734173410404623e33,433.94831689901395,53,631,1311.493369602176,1249,1368,1657.3165589935395,1314,8836,594.3808228493709,-1333,1278,168,643,15,15,55,NoNose|NoBody2,1
6,23,"2023-12-11 21:05:10.559","2023-12-11 21:10:05.250",294,89.85294212580287,-1.0821225610616315e34,1.2930854864990032e27,-1.9841488469310034e34,423.2401628222524,88,570,1310.5454545454545,1249,1367,1647.603120759837,1307,8580,605.8093622795116,-1364,1316,169,644,15,15,56,NoNose|NoBody2,1
6,24,"2023-12-11 21:10:05.344","2023-12-11 21:14:59.846",294,89.86330320523994,-7.394100503330253e30,2.8241685659154975e32,1.1558460804073318e32,424.3187372708758,145,578,1309.3489477257299,1240,1442,1654.1911065852003,1316,9355,602.3285811269518,-1213,1390,168,643,15,15,56,NoNose|NoBody2,1
6,25,"2023-12-11 21:14:59.959","2023-12-11 21:19:54.540",294,89.8988596712884,4.8204784526637e28,-7.210751625123838e34,-1.8086189346569391e34,427.1014591109603,100,609,1309.7567017305735,1242,1367,1643.6620291822192,1320,8618,603.7159823549372,-1224,1416,169,643,15,15,55,NoNose|NoBody2,1
6,26,"2023-12-11 21:19:54.854","2023-12-11 21:24:48.770",293,89.8979126177982,9.870308144046878e31,5.781616672128538e28,-2.6255402246164137e34,430.0636054421769,138,619,1309.942857142857,1252,1360,1650.9353741496598,1269,8859,598.9574829931972,-1360,1370,168,645,15,15,56,NoNose|NoBody2,1
6,27,"2023-12-11 21:24:48.992","2023-12-11 21:29:42.744",293,89.89147062952607,-2.889455739097211e34,4.927041680639456e33,1.012659865798138e32,428.078231292517,83,595,1311.2306122448979,1253,1355,1649.9809523809524,1315,8852,607.6534013605442,-1296,1380,169,643,15,15,56,NoNose|NoBody2,1
6,28,"2023-12-11 21:29:42.937","2023-12-11 21:35:03.037",320,89.38697100993981,-2.8419756381638545e32,-3.9968925819628347e34,3.445971278454096e33,427.27514053716425,116,543,1310.522798251093,1237,1373,1629.6514678326046,1310,8855,602.9175515302936,-1431,1441,427,645,15,15,56,NoNose|NoBody2,1
6,29,"2023-12-11 21:35:03.146","2023-12-11 21:39:57.437",294,89.58822038356398,-5.123740611787964e34,1.4835180599224849e32,7.101583385659125e31,423.1223241590214,121,640,1309.9150526673463,1199,1370,1643.4118246687053,1315,8563,601.8786952089704,-1355,1293,169,644,15,15,55,NoNose|NoBody2,1
6,30,"2023-12-11 21:39:57.443","2023-12-11 21:44:51.084",293,89.69114827336347,-5.801192254834593e32,-9.055444780602737e32,-3.603439185903559e34,424.62104187946886,107,626,1310.0405175348997,1231,1358,1649.3718079673135,1322,8835,602.7061627511066,-1308,1375,169,643,15,15,55,NoNose|NoBody2,1
